CPU: Intel Haswell microarchitecture, speed 3900 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 6000
Counted INST_RETIRED events (number of instructions retired) with a unit mask of 0x00 (No unit mask) count 6000
Counted cpl_cycles events () with a unit mask of 0x01 (Number of intervals between processor halts while thread is in ring 0) count 2000003
Counted resource_stalls events () with a unit mask of 0x01 (Resource-related stall cycles) count 2000003
Counted l2_rqsts events () with a unit mask of 0x21 (Demand Data Read miss L2, no rejects) count 200003
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 6000
Counted LLC_REFS events (Last level cache demand requests from this core) with a unit mask of 0x4f (No unit mask) count 6000
Counted l2_trans events () with a unit mask of 0x80 (Transactions accessing L2 pipe) count 200003
Counted br_inst_exec events () with a unit mask of 0xff (Speculative and retired  branches) count 200003
Counted br_misp_exec events () with a unit mask of 0xff (Speculative and retired mispredicted macro conditional branches) count 200003
samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     linenr info                 symbol name
12045938 12045938      53.4286  53.4286    11018415 11018415      52.2248  52.2248    12       12            48.0000  48.0000    7502     7502          98.8276  98.8276    196      196           100.000  100.000    497288   497288        99.6933  99.6933    882273   882273        99.6913  99.6913    12460    12460         96.2757  96.2757    57606    57606         22.2219  22.2219    11       11            84.6154  84.6154    (no location information)   computeInner_stencil37(double*, double*, unsigned long, unsigned long, unsigned long)
3        22545867      1.3e-05  100.000    0        21098048            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   tbb::strict_ppl::concurrent_queue<darts::Codelet*, tbb::cache_aligned_allocator<darts::Codelet*> >::~concurrent_queue()
2        22545869      8.9e-06  100.000    0        21098048            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   darts::Thread::join()
1        22545870      4.4e-06  100.000    0        21098048            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   StencilTP::~StencilTP()
1        22545871      4.4e-06  100.000    1        21098049      4.7e-06  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   darts::Runtime::~Runtime()
1        22545872      4.4e-06  100.000    0        21098049            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   darts::Thread::setAffinity(int)
1        22545873      4.4e-06  100.000    1        21098050      4.7e-06  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   main
1        22545874      4.4e-06  100.000    0        21098050            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   tbb::strict_ppl::concurrent_queue<darts::tpClosure*, tbb::cache_aligned_allocator<darts::tpClosure*> >::~concurrent_queue()
1        22545875      4.4e-06  100.000    0        21098050            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259230              0  99.9996    0        13                  0  100.000    (no location information)   void std::vector<unsigned long, std::allocator<unsigned long> >::_M_emplace_back_aux<unsigned long const&>(unsigned long const&)
0        22545875            0  100.000    0        21098050            0  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    1        259231        3.9e-04  100.000    0        13                  0  100.000    (no location information)   TPThread0(darts::Runtime*, unsigned int)
0        22545875            0  100.000    1        21098051      4.7e-06  100.000    0        25                  0  100.000    0        7591                0  100.000    0        196                 0  100.000    0        498818              0  100.000    0        885005              0  100.000    0        12942               0  100.000    0        259231              0  100.000    0        13                  0  100.000    (no location information)   tbb::strict_ppl::internal::micro_queue<darts::tpClosure*>::pop(void*, unsigned long, tbb::strict_ppl::internal::concurrent_queue_base_v3<darts::tpClosure*>&)
