machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"tex2_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex3_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex0_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex1_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex2_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex3_cache_sector_misses",0,0,0
f3,200_200_50,300,"fb_subp0_read_sectors",13057,13219,13110
f3,200_200_50,300,"fb_subp1_read_sectors",13081,13233,13130
f3,200_200_50,300,"fb_subp0_write_sectors",12585,12669,12627
f3,200_200_50,300,"fb_subp1_write_sectors",12600,12683,12645
f3,200_200_50,300,"l2_subp0_write_sector_misses",5000,5003,5001
f3,200_200_50,300,"l2_subp1_write_sector_misses",5003,5011,5007
f3,200_200_50,300,"l2_subp2_write_sector_misses",5000,5001,5000
f3,200_200_50,300,"l2_subp3_write_sector_misses",4872,5002,5001
f3,200_200_50,300,"l2_subp0_read_sector_misses",5000,5045,5004
f3,200_200_50,300,"l2_subp1_read_sector_misses",5002,5051,5009
f3,200_200_50,300,"l2_subp2_read_sector_misses",5004,5048,5006
f3,200_200_50,300,"l2_subp3_read_sector_misses",5003,5043,5006
f3,200_200_50,300,"l2_subp0_write_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp1_write_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp2_write_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp3_write_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp0_read_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp1_read_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp2_read_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp3_read_l1_sector_queries",5000,5000,5000
f3,200_200_50,300,"l2_subp0_read_l1_hit_sectors",0,0,0
f3,200_200_50,300,"l2_subp1_read_l1_hit_sectors",0,0,0
