machine, size, metric, invocations, min, max, mean
ccsl, 400_400_800, cudaLaunch (gpu_stencil37_hack1_cp_slices, 300,5077,77853,6898.307
ccsl, 400_400_800, "gpu_stencil37_hack1_cp_slices, 300,472006,475462,473268.2
ccsl, 400_400_800, cudaLaunch (gpu_stencil37_hack1_cp_rows, 300,5015,17169,5650.163
ccsl, 400_400_800, "gpu_stencil37_hack1_cp_rows, 300,1472690,1482194,1475969
ccsl, 400_400_800, cudaLaunch (gpu_stencil37_hack1_cp_cols, 300,5073,13219,5548.01
ccsl, 400_400_800, "gpu_stencil37_hack1_cp_cols, 300,10079451,10319934,10212792
ccsl, 400_400_800, cudaLaunch (gpu_stencil37_hack2, 300,5037,14556,5581.653
ccsl, 400_400_800, "gpu_stencil37_hack2, 300,34538694,34709063,34615857
ccsl, 800_800_200, cuDeviceGetAttribute, 91,140,65577,2110.231
ccsl, 800_800_200, cudaSetupArgument, 12000,168,983,193.5096
ccsl, 800_800_200, cudaMallocHost, 2,204580225,312980434,258780330
ccsl, 800_800_200, cudaGetDeviceCount, 10,1289,2034,1465.5
ccsl, 800_800_200, cudaGetDeviceProperties, 10,236805,284679,252401.5
ccsl, 800_800_200, cudaMemGetInfo, 10,194806,206546,198802.8
ccsl, 800_800_200, cudaMalloc, 42,139241,312980434,12767798
ccsl, 800_800_200, cudaMemcpy, 20,97450631,102100265,99135990
ccsl, 800_800_200, CUDA memcpy HtoD, 10,97403653,98502772,97861976
ccsl, 800_800_200, CUDA memcpy DtoH, 10,98693013,102042912,100306781
ccsl, 800_800_200, cudaFree, 42,98611,131098579,6250593
ccsl, 800_800_200, cudaLaunch (gpu_stencil37_hack1_cp_slices, 300,5046,48020,6637.8
ccsl, 800_800_200, "gpu_stencil37_hack1_cp_slices, 300,472422,475782,473512.8
ccsl, 800_800_200, cudaLaunch (gpu_stencil37_hack1_cp_rows, 300,4973,11752,5463.013
ccsl, 800_800_200, "gpu_stencil37_hack1_cp_rows, 300,1467155,1477170,1471910
ccsl, 800_800_200, cudaLaunch (gpu_stencil37_hack1_cp_cols, 300,5022,12595,5350.223
ccsl, 800_800_200, "gpu_stencil37_hack1_cp_cols, 300,10086015,10384034,10213092
ccsl, 800_800_200, cudaLaunch (gpu_stencil37_hack2, 300,4989,13032,5348.363
ccsl, 800_800_200, "gpu_stencil37_hack2, 300,34789076,34871701,34837627
ccsl, 800_800_400, cuDeviceGetAttribute, 91,141,69347,2232.374
ccsl, 800_800_400, cudaSetupArgument, 96000,161,313257,209.3763
ccsl, 800_800_400, cudaMallocHost, 2,333059116,449298976,391179046
