#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,59103247689.41,101772575845.19,113717302455.17,58822943426.00
5,59103247689.41,101772575845.19,87698734551.31,47068933589.92
6,59103247689.41,101772575845.19,70220131613.36,41255732089.03
7,59103247689.41,101772575845.19,60191461937.64,32738071857.03
8,59103247689.41,101772575845.19,51660216441.67,29556369987.56
9,59103247689.41,101772575845.19,46819097639.67,28751551171.22
10,59103247689.41,101772575845.19,43199780514.33,29204811970.69
11,59103247689.41,101772575845.19,42941342633.36,29949624813.03
12,59103247689.41,101772575845.19,45183247295.78,37147877593.17
