==11545== NVPROF is profiling process 11545, command: ./StencilCudaGpu37 800 800 800 6 5
==11545== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==11545== Profiling application: ./StencilCudaGpu37 800 800 800 6 5
==11545== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
116061495.000000,174,,,,,,,,,,,,,"cuDeviceGetAttribute",80
116061883.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",81
116062269.000000,256,,,,,,,,,,,,,"cuDeviceGetAttribute",82
116062736.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",83
116063134.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",84
116063534.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",85
116063923.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",86
116064321.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",87
116064707.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",88
116065101.000000,193,,,,,,,,,,,,,"cuDeviceGetAttribute",89
116065499.000000,149705.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",90
116215739.000000,235,,,,,,,,,,,,,"cuDeviceGetAttribute",91
116216181.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",92
116216578.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",93
116216958.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",94
116217335.000000,243,,,,,,,,,,,,,"cuDeviceGetAttribute",95
116217785.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",96
116218176.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",97
116218567.000000,493,,,,,,,,,,,,,"cuDeviceGetAttribute",98
116219260.000000,36518.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",99
116256275.000000,222,,,,,,,,,,,,,"cuDeviceGetAttribute",100
116256700.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",101
116257081.000000,490,,,,,,,,,,,,,"cuDeviceGetAttribute",102
116257780.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",103
