==22626== NVPROF is profiling process 22626, command: ./StencilCudaGpu37 400 400 200 6 5
==22626== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==22626== Profiling application: ./StencilCudaGpu37 400 400 200 6 5
==22626== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,,
115671958.000000,1148.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount",1
115673857.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGetCount",2
115685140.000000,488,,,,,,,,,,,,,,,,,"cuDeviceGet",3
115686100.000000,341,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",4
115688646.000000,421,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",5
115689937.000000,390,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",6
116097119.000000,975,,,,,,,,,,,,,,,,,"cuDeviceGet",7
116098727.000000,449,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",8
116107469.000000,648,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",9
116118707.000000,598,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",10
116189284.000000,545,,,,,,,,,,,,,,,,,"cuDeviceGetCount",11
116190114.000000,271,,,,,,,,,,,,,,,,,"cuDeviceGet",12
116191526.000000,36850.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",13
116229259.000000,103663.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",14
116333431.000000,399,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",15
116334052.000000,220,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",16
116334495.000000,232,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",17
116334949.000000,216,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",18
116335388.000000,219,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",19
116335821.000000,29276.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",20
116365574.000000,248,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",21
116366039.000000,210,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",22
116366463.000000,209,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",23
116366893.000000,249,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",24
116367373.000000,224,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",25
116367816.000000,222,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",26
116368260.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",27
116368695.000000,210,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",28
116369127.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",29
116369554.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",30
116369987.000000,211,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",31
