==27916== NVPROF is profiling process 27916, command: ./StencilCudaGpu37 1000 1000 1000 3 5
==27916== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==27916== Profiling application: ./StencilCudaGpu37 1000 1000 1000 3 5
==27916== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,KB,MB,GB/s,,,,,,,
115759777.000000,1132.000000,,,,,,,,,,,,,,,,,"cuDeviceGetCount",1
115762104.000000,210,,,,,,,,,,,,,,,,,"cuDeviceGetCount",2
115773956.000000,489,,,,,,,,,,,,,,,,,"cuDeviceGet",3
115775004.000000,347,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",4
115778228.000000,251,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",5
115779097.000000,210,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",6
116131570.000000,609,,,,,,,,,,,,,,,,,"cuDeviceGet",7
116132466.000000,246,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",8
116142330.000000,275,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",9
116143145.000000,201,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",10
116200322.000000,401,,,,,,,,,,,,,,,,,"cuDeviceGetCount",11
116200965.000000,203,,,,,,,,,,,,,,,,,"cuDeviceGet",12
116202330.000000,37455.000000,,,,,,,,,,,,,,,,,"cuDeviceGetName",13
116240806.000000,102150.000000,,,,,,,,,,,,,,,,,"cuDeviceTotalMem",14
116343494.000000,346,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",15
116344040.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",16
116344415.000000,193,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",17
116344809.000000,188,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",18
116345182.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",19
116345558.000000,28989.000000,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",20
116375058.000000,239,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",21
116375499.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",22
116375871.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",23
116376247.000000,189,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",24
116376630.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",25
116377002.000000,189,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",26
116377389.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",27
116377775.000000,183,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",28
116378154.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",29
116378537.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",30
116378913.000000,187,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",31
116379298.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",32
116379678.000000,257,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",33
116380123.000000,258,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",34
116380578.000000,179,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",35
116380949.000000,186,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",36
116381333.000000,182,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",37
116381717.000000,243,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",38
116382151.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",39
116382523.000000,181,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",40
116382903.000000,195,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",41
116383297.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",42
116383666.000000,177,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",43
116384037.000000,194,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",44
116384429.000000,184,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",45
116384812.000000,180,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",46
116385185.000000,185,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",47
