2000 * 2000, 31, 1, 32, 30, 20, 926506850.950000048, 954153207.25,2304343397,854300799,854179817,854310409,854340253,854535680,855154348,853600334,853901800,853856410,853636640,853628129,853853949,853656758,853854225,853723747,853997887,853717814,853719901,853824722,
2000 * 2000, 31, 1, 32, 30, 20, 927652942.75, 955970490.149999976,2334393491,854185046,853913861,854052169,854304319,854344316,854472150,854673165,853274886,853412130,853209385,853208654,853173956,853255648,853195727,853306003,853160833,853381494,853157910,852983712,
2000 * 2000, 31, 1, 32, 30, 20, 926583139.350000024, 955345625.649999976,2311550919,853888963,854097209,853718588,853905079,853786894,855150556,854725119,853532819,853451506,853241579,853259519,853353478,853273338,853430366,853312878,853509083,853474445,853739642,853260807,
2000 * 2000, 31, 1, 32, 30, 20, 932374803.799999952, 960981815.399999976,2411564218,854605479,854433779,854283795,854458119,854414575,854528916,854509282,854589667,854436389,854316877,854589678,854501793,854388954,854527176,854242658,854398147,854219303,856282790,854204481,
2000 * 2000, 31, 1, 32, 30, 20, 926234163.5, 954425827.450000048,2311932755,853360050,853159402,853332288,853378685,853421851,853301222,853031164,853787573,853570236,853334194,853216730,853062716,852977010,853263556,853298364,853292631,853249684,853240906,853472253,
2000 * 2000, 31, 1, 32, 30, 20, 930296125.450000048, 957760213.350000024,2342253042,856041882,856529969,855854415,856059127,856031469,855978657,856043884,856255235,855907333,855782951,856026236,855944066,856069688,855745782,855921323,855914802,855823945,855831443,855907260,
2000 * 2000, 31, 1, 32, 30, 20, 926955419.399999976, 956028653.549999952,2319149190,853522094,853622421,853611921,853706925,853758432,853804779,853503803,853709898,853808530,853678769,853670868,853861634,853716068,853657085,853673331,853889228,853607367,853692356,853463689,
2000 * 2000, 31, 1, 32, 30, 20, 926446857.549999952, 955023226.149999976,2339458933,852329451,852043856,852163536,852222338,852189622,852059092,851920305,852186231,852019747,852108078,852047444,852210064,851935082,852110744,851966283,852006443,851928143,852016429,852015330,
2000 * 2000, 31, 1, 32, 30, 20, 924670447.350000024, 953289433.5,2307147430,851908699,851777392,851923155,851821435,851790370,851860012,851873479,851978108,851857141,852233037,852094447,852092896,851964296,851853672,851872152,851749994,851946948,851773872,851890412,
2000 * 2000, 31, 1, 32, 30, 20, 927440490.100000024, 956726963.25,2334694486,855300597,853231363,853167149,853329835,853187721,853362921,853276421,853272397,853195231,853299007,854261380,853158957,853212363,853119554,853105881,853133074,853149594,853113711,853238160,
