3000 * 3000, 31, 1, 32, 30, 20, 10232402442.75, 10291564074.4500008,10232984208,10232519289,10232948193,10232609095,10232440914,10232162851,10232237850,10232362127,10232850203,10233117855,10232904427,10232959539,10232140985,10232750323,10232860556,10232831409,10231961050,10231092612,10231348903,10230966466,
3000 * 3000, 31, 1, 32, 30, 20, 10234515085.5, 10290641661.3500004,10235307919,10234834696,10234897957,10235097008,10234579602,10235050300,10234754481,10234941883,10234755246,10234887601,10234724423,10235065345,10235764999,10234779498,10234892784,10233980945,10232988990,10232694349,10233377980,10232925704,
3000 * 3000, 31, 1, 32, 30, 20, 10235757669.1499996, 10291726032.3500004,10236215564,10235927318,10236012410,10236014269,10236294392,10236088871,10236479406,10236465833,10236413348,10236434716,10235981361,10236524401,10236713091,10236316771,10237155441,10237058945,10233528994,10233456949,10233237343,10232833960,
3000 * 3000, 31, 1, 32, 30, 20, 10233428116, 10289355493.3500004,10233972569,10233802117,10234676113,10234117118,10233923622,10234150872,10234188896,10234553041,10234190667,10234689986,10234139341,10233988844,10233840216,10234121946,10234462350,10233221570,10230595230,10230792517,10230669403,10230465902,
3000 * 3000, 31, 1, 32, 30, 20, 10236323747.0499992, 10293032276,10237193120,10236761669,10236504446,10236742465,10235972485,10236203297,10236399253,10236518184,10236600488,10236605857,10236855235,10236525809,10236269819,10236686591,10235999636,10236410719,10235541444,10235341169,10235661300,10235681955,
3000 * 3000, 31, 1, 32, 30, 20, 10238652083.7000008, 10295316621.25,10240208989,10240281495,10240073860,10239665956,10239521884,10240086677,10239816785,10239678266,10239818690,10240163560,10240209415,10240277577,10238973840,10237976521,10237955633,10238383604,10236399473,10234564893,10234342420,10234642136,
3000 * 3000, 31, 1, 32, 30, 20, 10232310619.25, 10288060932.5,10233322485,10233163838,10232814304,10232889019,10232601682,10232759338,10232978674,10232419224,10233003129,10232854504,10232731660,10232873682,10232698150,10233217817,10232923395,10232728937,10229893796,10230197050,10230299378,10229842323,
3000 * 3000, 31, 1, 32, 30, 20, 10233093929.6000004, 10288861202.1499996,10234141721,10234088561,10234058908,10234252244,10234003629,10233757814,10233748639,10234225300,10234130532,10233834566,10233328435,10233732044,10232774611,10232753176,10232263024,10232900646,10231112157,10231070525,10230652731,10231049329,
3000 * 3000, 31, 1, 32, 30, 20, 10231397579.0499992, 10286482525.2000008,10231873759,10231602347,10232183855,10231674119,10231388685,10231378357,10231803741,10231871950,10231893959,10231848073,10231908033,10232282128,10230738186,10231597795,10231314656,10231507015,10230038833,10230175994,10230681902,10230188194,
3000 * 3000, 31, 1, 32, 30, 20, 10232013081.7999992, 10288014377.2000008,10232223483,10231982454,10232651049,10232259976,10231932686,10232014041,10231907477,10232506229,10232163478,10232220310,10232796623,10232333118,10232260932,10232510387,10231909453,10232412122,10231095975,10231045779,10230867111,10231168953,
