==13314== NVPROF is profiling process 13314, command: ./StencilCudaGpu37 1000 1000 400 1 5
==13314== Warning: Unified Memory Profiling is not supported on this device. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==13314== Profiling application: ./StencilCudaGpu37 1000 1000 400 1 5
==13314== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ns,ns,,,,,,,,B,B,,,,,
117285958.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",80
117286326.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",81
117286695.000000,258,,,,,,,,,,,,,"cuDeviceGetAttribute",82
117287154.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",83
117287525.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",84
117287892.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",85
117288268.000000,254,,,,,,,,,,,,,"cuDeviceGetAttribute",86
117288717.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",87
117289094.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",88
117289475.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",89
117289849.000000,138200.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",90
117428542.000000,214,,,,,,,,,,,,,"cuDeviceGetAttribute",91
117428955.000000,191,,,,,,,,,,,,,"cuDeviceGetAttribute",92
117429347.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",93
117429724.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",94
117430101.000000,265,,,,,,,,,,,,,"cuDeviceGetAttribute",95
117430563.000000,181,,,,,,,,,,,,,"cuDeviceGetAttribute",96
117430945.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",97
117431318.000000,1085.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",98
117432606.000000,39076.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",99
117472170.000000,229,,,,,,,,,,,,,"cuDeviceGetAttribute",100
117472598.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",101
117472972.000000,525,,,,,,,,,,,,,"cuDeviceGetAttribute",102
117473701.000000,179,,,,,,,,,,,,,"cuDeviceGetAttribute",103
117474082.000000,300,,,,,,,,,,,,,"cuDeviceGetAttribute",104
117474582.000000,192,,,,,,,,,,,,,"cuDeviceGetAttribute",105
117475036.000000,208,,,,,,,,,,,,,"cuDeviceGet",106
117475736.000000,34087.000000,,,,,,,,,,,,,"cuDeviceGetName",107
117510332.000000,50113.000000,,,,,,,,,,,,,"cuDeviceTotalMem",108
117560880.000000,224,,,,,,,,,,,,,"cuDeviceGetAttribute",109
117561293.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",110
117561664.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",111
117562042.000000,187,,,,,,,,,,,,,"cuDeviceGetAttribute",112
117562427.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",113
117562793.000000,32190.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",114
117595417.000000,204,,,,,,,,,,,,,"cuDeviceGetAttribute",115
117595815.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",116
117596181.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",117
117596547.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",118
117596923.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",119
117597291.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",120
117597659.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",121
117598025.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",122
117598404.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",123
117598769.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",124
117599135.000000,408,,,,,,,,,,,,,"cuDeviceGetAttribute",125
117599737.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",126
117600104.000000,183,,,,,,,,,,,,,"cuDeviceGetAttribute",127
117600483.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",128
117600852.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",129
117601220.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",130
117601585.000000,182,,,,,,,,,,,,,"cuDeviceGetAttribute",131
117601962.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",132
117602328.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",133
117602696.000000,168,,,,,,,,,,,,,"cuDeviceGetAttribute",134
117603061.000000,184,,,,,,,,,,,,,"cuDeviceGetAttribute",135
117603441.000000,216,,,,,,,,,,,,,"cuDeviceGetAttribute",136
117603852.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",137
117604225.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",138
117604597.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",139
117604966.000000,167,,,,,,,,,,,,,"cuDeviceGetAttribute",140
117605331.000000,168,,,,,,,,,,,,,"cuDeviceGetAttribute",141
117605696.000000,185,,,,,,,,,,,,,"cuDeviceGetAttribute",142
117606077.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",143
117606442.000000,172,,,,,,,,,,,,,"cuDeviceGetAttribute",144
117606810.000000,168,,,,,,,,,,,,,"cuDeviceGetAttribute",145
117607173.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",146
117607540.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",147
117607905.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",148
117608277.000000,173,,,,,,,,,,,,,"cuDeviceGetAttribute",149
117608644.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",150
117609015.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",151
117609381.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",152
117609754.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",153
117610121.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",154
117610486.000000,168,,,,,,,,,,,,,"cuDeviceGetAttribute",155
117610852.000000,170,,,,,,,,,,,,,"cuDeviceGetAttribute",156
117611219.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",157
117611582.000000,175,,,,,,,,,,,,,"cuDeviceGetAttribute",158
117611960.000000,167,,,,,,,,,,,,,"cuDeviceGetAttribute",159
117612328.000000,171,,,,,,,,,,,,,"cuDeviceGetAttribute",160
117612695.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",161
117613059.000000,178,,,,,,,,,,,,,"cuDeviceGetAttribute",162
117613435.000000,169,,,,,,,,,,,,,"cuDeviceGetAttribute",163
117613800.000000,189048.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",164
117804173.000000,438,,,,,,,,,,,,,"cuDeviceGetAttribute",165
117804942.000000,312,,,,,,,,,,,,,"cuDeviceGetAttribute",166
117805586.000000,279,,,,,,,,,,,,,"cuDeviceGetAttribute",167
117806202.000000,300,,,,,,,,,,,,,"cuDeviceGetAttribute",168
117806831.000000,309,,,,,,,,,,,,,"cuDeviceGetAttribute",169
117807473.000000,318,,,,,,,,,,,,,"cuDeviceGetAttribute",170
117808129.000000,289,,,,,,,,,,,,,"cuDeviceGetAttribute",171
117808754.000000,308,,,,,,,,,,,,,"cuDeviceGetAttribute",172
117809394.000000,296,,,,,,,,,,,,,"cuDeviceGetAttribute",173
117810019.000000,308,,,,,,,,,,,,,"cuDeviceGetAttribute",174
117810650.000000,282,,,,,,,,,,,,,"cuDeviceGetAttribute",175
117811261.000000,319,,,,,,,,,,,,,"cuDeviceGetAttribute",176
117811910.000000,286,,,,,,,,,,,,,"cuDeviceGetAttribute",177
117812535.000000,297,,,,,,,,,,,,,"cuDeviceGetAttribute",178
117813150.000000,288,,,,,,,,,,,,,"cuDeviceGetAttribute",179
117813769.000000,306,,,,,,,,,,,,,"cuDeviceGetAttribute",180
117814399.000000,290,,,,,,,,,,,,,"cuDeviceGetAttribute",181
117815017.000000,301,,,,,,,,,,,,,"cuDeviceGetAttribute",182
117815639.000000,288,,,,,,,,,,,,,"cuDeviceGetAttribute",183
117816257.000000,166629.000000,,,,,,,,,,,,,"cuDeviceGetAttribute",184
117983760.000000,225,,,,,,,,,,,,,"cuDeviceGetAttribute",185
117984190.000000,258,,,,,,,,,,,,,"cuDeviceGetAttribute",186
117984657.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",187
117985046.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",188
117985423.000000,192,,,,,,,,,,,,,"cuDeviceGetAttribute",189
117985814.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",190
117986188.000000,223,,,,,,,,,,,,,"cuDeviceGetAttribute",191
117986607.000000,574,,,,,,,,,,,,,"cuDeviceGetAttribute",192
117987398.000000,202,,,,,,,,,,,,,"cuDeviceGetAttribute",193
117987810.000000,176,,,,,,,,,,,,,"cuDeviceGetAttribute",194
117988191.000000,180,,,,,,,,,,,,,"cuDeviceGetAttribute",195
117988573.000000,370,,,,,,,,,,,,,"cuDeviceGetAttribute",196
117989144.000000,177,,,,,,,,,,,,,"cuDeviceGetAttribute",197
117989531.000000,220,,,,,,,,,,,,,"cuDeviceGetAttribute",198
117989949.000000,186,,,,,,,,,,,,,"cuDeviceGetAttribute",199
117993843.000000,801453793.000000,,,,,,,,,,,,,"cudaMallocHost",200
919450662.000000,566398165.000000,,,,,,,,,,,,,"cudaMallocHost",201
3579227561.000000,1774.000000,,,,,,,,,,,,,"cudaGetDeviceCount",202
3579229771.000000,489267.000000,,,,,,,,,,,,,"cudaGetDeviceProperties",203
3579719868.000000,144459.000000,,,,,,,,,,,,,"cudaMemGetInfo",204
======== Error: Application returned non-zero code 255
