#ratio,1000,2000,3000,4000,5000,6000,7000,8000
0.25,12,,,,,,,,
0.5,12,28252918869.78,27791469862.86,27612323902.94,27624169310.19,,,,
0.75,12,,,,,,,,
1,12,27865491556.00,28508507879.03,27806882297.33,28378759117.53,,,,
1.25,12,,,,,,,,
1.5,12,28183706826.14,27744477684.22,27663581490.78,27520422174.64,,,,
1.75,12,,,,,,,,
2,12,27678557255.17,27461179930.89,27613818465.50,28127334194.92,,,,
