#size,volumn,1,2,3,4,5,6,7,8,9,10
50*100*100,500000,-19386640.34,-11088857.34,-16268568.34,-1419970.67,-14761398.67,1700202,6508414.33,-9264705.34,-1952968,-4492833.33
100*100*100,1000000,-9081259.33,-25591163.66,1971709.33,-1694420.67,-22396905.33,-6695640,7773228.33,-1564911.66,9494681.66,6461407.67
50*200*200,2000000,-3825754,-17740986.67,4796555,1595871.67,10832294,-8091860.33,8176313.33,19670048.33,8425400.33,21352965.66
100*200*200,4000000,-7665754.33,-25411145.34,3461463.33,5681663.67,28683917.34,29145888.33,36404163.34,47831134,57748469.33,72297848.67
50*400*400,8000000,-15540048.34,-10812567.33,25990080.33,38335730.67,58857880,72401642.34,87469053.67,103728939.7,114897352.3,129535538.7
200*200*200,8000000,-9856980,-1251131,27190296.66,26536707,57069539.33,83979139.67,101583871.3,103970767,126547558,135912304.3
100*400*400,16000000,-13381222,23306133,52571760.67,65502669,106576462.3,141780814,172370907.3,206693710,248596588,267484082.7
50*800*800,32000000,-30671221.67,38138268.67,86136314.33,163992754.7,223284456.7,287024762,339561782.7,417672531.3,489337935.3,554993031.7
200*400*400,32000000,-17427115,59068940.66,123405496.7,198793949.7,271696130.7,332476239,405831143,481294053,558319058.7,616257140.7
50*1000*1000,50000000,-34294730.33,60414555,173874148.3,271554031.7,381979405.3,472238189,584567697,693275304.7,786631965.3,892688536.3
100*800*800,64000000,-35050119.34,97909968,219717293,381586561.7,503483954,645846703.3,775864940.3,908807098.7,1043587644,1184957517
400*400*400,64000000,-35772735.67,113560976.7,261127821.7,397798326.3,555089105.3,695398217.7,843485457.7,978967021.7,1124155838,1261420343
100*1000*1000,100000000,-37357387,167148830.3,389230411,611841920.7,830704933.3,1042252776,1257572077,1475954778,1680343571,1904116535
200*800*800,128000000,-37136048.34,258369949.7,540918277.7,829040486.3,1130631531,1412943011,1714587553,1997910958,2299652302,2586405809
800*400*400,128000000,-26181860.33,275599350,570700570.3,882512297,1172829077,1458025637,1761988643,2065246106,2365950855,2666936605
200*1000*1000,200000000,-53329463.67,376911598.7,821282317,1261753373,1703345677,2149490947,2584214117,3023714691,3474371916,3911395069
