machine,size,iteration,metric,invocations,min,max,mean,sum
debian,100_100_100,7,cudaLaunch (gpu_stencil37_hack2_cp_cols,0,Inf,-Inf,NaN,0
debian,100_100_100,7,gpu_stencil37_hack2_cp_cols,140,96928,129312,101755.9,14245819
debian,100_100_100,7,cudaLaunch (gpu_stencil37_hack2,0,Inf,-Inf,NaN,0
debian,100_100_100,7,gpu_stencil37_hack2,420,14912,129312,58039.36,24376530
debian,100_100_100,7,total_CUDA memcpy HtoD,140,73567,299711,241762.7,33846781
debian,100_100_100,7,total_CUDA memcpy DtoH,140,61760,285887,219743,30764015
debian,100_100_100,7,total_kernel_execution_time,0, 0, 0, 0, 48753060
debian,100_100_100,7,total_CUDA_functions,0, 0, 0, 0, 15757256
debian,100_100_100,7,total_running_time,0, 0, 0, 0, 118729570
debian,100_100_100,8,cuDeviceGetAttribute,188,173,157985,3891.66,731632
debian,100_100_100,8,cudaSetupArgument,10240,136,627,192.3112,1969267
debian,100_100_100,8,cudaMallocHost,2,1631890,83106613,42369252,84738503
