#size,volumn,1,2,3,4,5,6,7,8,9,10
50*100*100,500000,8509896.67,1549694,10658933.67,2583046.34,12240776,14615955.33,4904192.66,11947602.66,19164637,8293571.33
100*100*100,1000000,3353369.34,-5902309.33,10234591.33,6090619,6885916.67,7147193.67,21692111.67,16292889,19656048,19765260.34
50*200*200,2000000,4495631.67,5314057,13875596.34,19890518.67,23401990.33,15378222.66,26183937.67,30971169.34,32682866.67,40271805.67
100*200*200,4000000,12464166.67,9670482.66,23360631.67,15050620.66,24455466.67,36531560.67,39750774.66,50461802,69440868,58287479.33
50*400*400,8000000,951481.33,11639817.33,21346017,31454462.33,41697462.34,53621391,62412330.66,86596542.33,87014295.34,97909331.34
200*200*200,8000000,8724696.66,18634001,29147909.67,35552175,60457745.66,62778560.66,71341953.66,96929880,118412990.3,101862037.7
100*400*400,16000000,-587985.67,21065307.66,36722191.33,56093803.66,79546661.67,101692681,124277856,141706183,164293863.7,184836838.3
50*800*800,32000000,2143758.66,39050860.33,75762957,125035619,160898712.7,202458528,229940524,277086086,310255947.3,324239787
200*400*400,32000000,14722468.33,50114431.33,87930825.67,127224307,156998565.3,189861486.7,240208055.7,282039821.3,339251715.3,363737311
50*1000*1000,50000000,2718213.67,75380383.67,120802169,182419955,243921349.3,303320053.3,358479988.3,425635058.7,466316819.3,539043838.7
100*800*800,64000000,-419666.66,71842238,152295598.3,216258565.3,289268244,382698237.3,451915637.7,538564502.7,606971017.7,678873782.3
400*400*400,64000000,8941506,83103312,156960761.3,237048083.3,315861436.7,379864689.7,452389626,526736647.3,613898645.3,670741207
100*1000*1000,100000000,-3034442.33,111126844.7,235745909.7,346940231.7,472099031.7,565530871.7,687036013,794221182.7,909588070,1031761475
200*800*800,128000000,3628929.33,151395356.7,301447472,449295699.3,599723398,748636123.7,898386694.3,1037227993,1190964981,1344189505
800*400*400,128000000,4059596.34,155965544.3,306403858.3,468287205.3,615735105.7,776498534.7,920160389.7,1068256732,1218548539,1370019064
200*1000*1000,200000000,9202128.33,237631981,459574260.7,692397150,926148249,1158767987,1380279608,1623687771,1843115466,2108211465
