#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,29437421841.27,17852284042.06,33329016707.28,25814777664.61
5,29437421841.27,17852284042.06,30722483708.03,24951228066.86
6,29437421841.27,17852284042.06,30635414183.58,24230184424.92
7,29437421841.27,17852284042.06,28808886300.61,25865128222.92
8,29437421841.27,17852284042.06,29934003861.47,24875249676.08
