#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,2158667975.20,519212525.49,4437933715.31,516895660.86
5,2158667975.20,519212525.49,3408452177.94,518805287.00
6,2158667975.20,519212525.49,2727717878.17,519198032.25
7,2158667975.20,519212525.49,2340077053.25,519780753.64
8,2158667975.20,519212525.49,2005768636.14,519130132.81
9,2158667975.20,519212525.49,1807397355.25,519169977.36
10,2158667975.20,519212525.49,1618232237.64,520370181.86
11,2158667975.20,519212525.49,1550297728.00,519984742.92
12,2158667975.20,519212525.49,1487313652.14,519095429.39
