machine,kernel,size(x),size(y),size(z),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,100,100,200,1,1,6,12045609
f3,StencilCudaGpu37,100,100,200,1,1,7,12028767
f3,StencilCudaGpu37,200,200,200,1,0,0,35137255
f3,StencilCudaGpu37,200,200,200,1,1,1,35044520
f3,StencilCudaGpu37,200,200,200,1,1,2,35020181
f3,StencilCudaGpu37,200,200,200,1,1,3,35767476
f3,StencilCudaGpu37,200,200,200,1,1,4,35062171
f3,StencilCudaGpu37,200,200,200,1,1,5,35122714
f3,StencilCudaGpu37,200,200,200,1,1,6,35194536
f3,StencilCudaGpu37,200,200,200,1,1,7,35052560
f3,StencilCudaGpu37,200,200,200,1,1,8,35262692
f3,StencilCudaGpu37,200,200,200,1,1,9,35114314
f3,StencilCudaGpu37,200,200,200,1,1,10,35119211
f3,StencilCudaGpu37,200,200,200,1,1,11,35433965
f3,StencilCudaGpu37,200,200,200,1,1,12,35507994
f3,StencilCudaGpu37,200,200,200,1,1,13,35250194
f3,StencilCudaGpu37,300,300,200,1,0,0,73627746
f3,StencilCudaGpu37,300,300,200,1,1,1,73445718
f3,StencilCudaGpu37,300,300,200,1,1,2,73383215
f3,StencilCudaGpu37,300,300,200,1,1,3,73651980
f3,StencilCudaGpu37,300,300,200,1,1,4,73555543
f3,StencilCudaGpu37,300,300,200,1,1,5,73522002
f3,StencilCudaGpu37,300,300,200,1,1,6,73691620
f3,StencilCudaGpu37,300,300,200,1,1,7,73438711
f3,StencilCudaGpu37,300,300,200,1,1,8,73430142
f3,StencilCudaGpu37,300,300,200,1,1,9,73447789
f3,StencilCudaGpu37,300,300,200,1,1,10,73425741
f3,StencilCudaGpu37,300,300,200,1,1,11,73421008
f3,StencilCudaGpu37,300,300,200,1,1,12,73601211
f3,StencilCudaGpu37,300,300,200,1,1,13,73670805
f3,StencilCudaGpu37,400,400,200,1,0,0,128069784
f3,StencilCudaGpu37,400,400,200,1,1,1,128181749
f3,StencilCudaGpu37,400,400,200,1,1,2,128190086
f3,StencilCudaGpu37,400,400,200,1,1,3,128280477
f3,StencilCudaGpu37,400,400,200,1,1,4,128205764
f3,StencilCudaGpu37,400,400,200,1,1,5,128118159
f3,StencilCudaGpu37,400,400,200,1,1,6,128174449
f3,StencilCudaGpu37,400,400,200,1,1,7,128041378
f3,StencilCudaGpu37,400,400,200,1,1,8,128100481
f3,StencilCudaGpu37,400,400,200,1,1,9,128078901
f3,StencilCudaGpu37,400,400,200,1,1,10,128163616
f3,StencilCudaGpu37,400,400,200,1,1,11,128105032
f3,StencilCudaGpu37,400,400,200,1,1,12,128151627
f3,StencilCudaGpu37,400,400,200,1,1,13,128496764
f3,StencilCudaGpu37,500,500,200,1,0,0,199733925
f3,StencilCudaGpu37,500,500,200,1,1,1,200438021
f3,StencilCudaGpu37,500,500,200,1,1,2,199904299
f3,StencilCudaGpu37,500,500,200,1,1,3,199831859
f3,StencilCudaGpu37,500,500,200,1,1,4,200269851
f3,StencilCudaGpu37,500,500,200,1,1,5,200174618
f3,StencilCudaGpu37,500,500,200,1,1,6,199892961
f3,StencilCudaGpu37,500,500,200,1,1,7,199797538
f3,StencilCudaGpu37,500,500,200,1,1,8,199807224
f3,StencilCudaGpu37,500,500,200,1,1,9,199757142
f3,StencilCudaGpu37,500,500,200,1,1,10,200294203
f3,StencilCudaGpu37,500,500,200,1,1,11,199789057
f3,StencilCudaGpu37,500,500,200,1,1,12,199954636
f3,StencilCudaGpu37,500,500,200,1,1,13,199782860
f3,StencilCudaGpu37,600,600,200,1,0,0,285540039
f3,StencilCudaGpu37,600,600,200,1,1,1,285504341
f3,StencilCudaGpu37,600,600,200,1,1,2,285608520
f3,StencilCudaGpu37,600,600,200,1,1,3,285508685
f3,StencilCudaGpu37,600,600,200,1,1,4,285516966
f3,StencilCudaGpu37,600,600,200,1,1,5,285465560
f3,StencilCudaGpu37,600,600,200,1,1,6,285553419
f3,StencilCudaGpu37,600,600,200,1,1,7,286268697
f3,StencilCudaGpu37,600,600,200,1,1,8,286364790
f3,StencilCudaGpu37,600,600,200,1,1,9,286299174
f3,StencilCudaGpu37,600,600,200,1,1,10,285514306
f3,StencilCudaGpu37,600,600,200,1,1,11,285542983
f3,StencilCudaGpu37,600,600,200,1,1,12,286403710
f3,StencilCudaGpu37,600,600,200,1,1,13,286266694
f3,StencilCudaGpu37,700,700,200,1,0,0,386845779
f3,StencilCudaGpu37,700,700,200,1,1,1,386816384
f3,StencilCudaGpu37,700,700,200,1,1,2,386897566
f3,StencilCudaGpu37,700,700,200,1,1,3,386852794
f3,StencilCudaGpu37,700,700,200,1,1,4,386899435
f3,StencilCudaGpu37,700,700,200,1,1,5,386894518
f3,StencilCudaGpu37,700,700,200,1,1,6,386776103
f3,StencilCudaGpu37,700,700,200,1,1,7,387256238
f3,StencilCudaGpu37,700,700,200,1,1,8,386783995
f3,StencilCudaGpu37,700,700,200,1,1,9,387029703
f3,StencilCudaGpu37,700,700,200,1,1,10,386981630
f3,StencilCudaGpu37,700,700,200,1,1,11,386879872
f3,StencilCudaGpu37,700,700,200,1,1,12,387989048
f3,StencilCudaGpu37,700,700,200,1,1,13,386853226
f3,StencilCudaGpu37,800,800,200,1,0,0,503221618
f3,StencilCudaGpu37,800,800,200,1,1,1,503044041
f3,StencilCudaGpu37,800,800,200,1,1,2,503023924
