#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,1.35934258744594,1.32529591964567,2.56260863406386
5,1,1.35934258744594,1.75524600625497,3.60266413493273
6,1,1.35934258744594,2.1944456081414,4.04688176764873
7,1,1.35934258744594,2.60574028923184,4.04435395043605
8,1,1.35934258744594,2.91675582372977,4.04096587392717
9,1,1.35934258744594,2.99590323312498,4.03772315522113
10,1,1.35934258744594,3.09355205899928,4.03376897216965
11,1,1.35934258744594,3.12478246102637,4.02779536706411
12,1,1.35934258744594,3.19215190772486,4.0108222214496
13,1,1.35934258744594,2.5606904311234,4.00568277043668
14,1,1.35934258744594,2.77331919727357,4.01081171179593
15,1,1.35934258744594,2.99422038830244,4.0108834809672
16,1,1.35934258744594,3.2042541412302,4.0141858174337
17,1,1.35934258744594,3.31851325043267,4.0101658324542
18,1,1.35934258744594,3.37571919904079,4.01034648039708
19,1,1.35934258744594,3.34299984312834,4.01152931598724
20,1,1.35934258744594,3.30788197134032,4.01214751180733
21,1,1.35934258744594,4.15074791463294,5.86889446918245
22,1,1.35934258744594,3.83969270929493,5.83946811538942
23,1,1.35934258744594,3.33988159591126,4.02154189940775
24,1,1.35934258744594,3.52737011458357,4.34626499732354
25,1,1.35934258744594,3.63357228468453,4.40362572302797
26,1,1.35934258744594,3.91685065780147,4.44345174085086
27,1,1.35934258744594,4.01385629403056,4.44068903283609
28,1,1.35934258744594,4.02168009446737,4.44862805450239
29,1,1.35934258744594,3.97069738453583,4.45399267389585
30,1,1.35934258744594,3.87868034112673,4.14178120496266
31,1,1.35934258744594,3.98882477002539,4.46539105618244
32,1,1.35934258744594,4.01497213818956,4.45661020985555
33,1,1.35934258744594,4.05355076413581,4.4367430650303
34,1,1.35934258744594,4.0505126484424,4.40823740392745
35,1,1.35934258744594,4.05237150079617,4.38378626415391
36,1,1.35934258744594,4.02462156849254,4.36505569789191
37,1,1.35934258744594,4.00530339413898,4.34278168576766
38,1,1.35934258744594,3.85763935416859,4.32002114476394
39,1,1.35934258744594,4.00391469159418,4.30151318140271
40,1,1.35934258744594,4.0970101314366,4.28757821254162
