#size,StencilSEQ37,StencilCUDA37,StencilCudaCpu37,StencilCudaGpu37,StencilCudaHybrid37
50*200*200,240704467.83,28275113.13,100677481.50,28643789.04,28655797.58
100*200*200,491579207.50,51537621.13,201140449.96,51936969.88,51930636.92
200*200*200,994398305.33,102017128.04,404443041.88,102457682.67,102469864.96
800*400*400,16699263820.50,1609146524.42,8375755264.79,1605336490.46,1608464533.08
200*800*800,16861917121.67,1612744829.46,8741876483.29,1608778643.92,1612124304.96
400*800*800,34244656343.17,11127110959.21,17909554402.50,12950728644.13,12008394739.38
800*800*800,68374914547.71,18433065012.63,35551551542.08,22098648838.33,24864982959.75
