#size,StencilSEQ37,StencilCUDA37,StencilCudaCpu37,StencilCudaGpu37,StencilCudaHybrid37
50*200*200,394766088.08,41107932.92,102501100.46,41723556.50,41402366.75
100*200*200,805435629.21,69909673.42,78043612.54,70279046.58,70428845.46
200*200*200,1637011871.54,130490321.75,184000462.29,130751937.42,130786384.88
800*400*400,26436988827.46,2045400097.38,3002618785.88,2046069742.71,2046505467.63
200*800*800,27302235197.79,2050252581.83,3504763335.04,2051636242.50,2051687497.33
400*800*800,54994619805.00,14581450478.04,7161543128.04,17655466255.92,7605696393.58
800*800*800,110061466411.92,24036459179.54,12272337315.54,30108796508.96,13066379968.58
800*1000*1000,176437215552.17,47135336275.50,20118378282.42,51906064591.04,18696732879.08
1000*1000*1000,220504074509.42,59179745760.92,22939578503.92,63961569288.38,21212175056.67
