Server_Name,NumOfSocket,CPU_Type,CPU_Clock(GHz),CPU_Cores,CPU_Threads,CPU_Mem(GB),CPU_L3_Cache(MB),GPU_Type,GPU_Clock(GHz),NumOfSM,SP/SM,GPU_Mem(GB),GPU_L2_Cache(MB),CC,NumOfCE,PCIe,Total_Workload,Initial_GPU_Workload,CPU/GPU_Workload_Ratio,Exe_Time
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,0.5,9329836232
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,1,9304935630
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,1.5,9299555840
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,21000,8000,2,9271896231
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,0.5,7986091056
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,1,6973946055
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,1.5,6846537855
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,1000,2,6905010652
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,0.5,7313830087
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,1,7276655235
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,1.5,7282835274
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,2000,2,7283198702
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,0.5,6881010890
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,1,6877701367
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,1.5,6825329953
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,4000,2,6857273130
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,0.5,10507808821
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,1,10501449722
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,1.5,10486664522
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,23000,8000,2,10471960873
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,0.5,9358648477
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,1,8484792585
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,1.5,9661039205
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,1000,2,9473637178
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,0.5,8313850261
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,1,8252074046
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,1.5,8323086457
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,2000,2,8251081871
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,0.5,9262248160
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,1,9662754819
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,1.5,9988088968
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,4000,2,8248665835
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,0.5,11803078766
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,1,11754468696
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,1.5,11757243656
fatnode,2,Intel,2.6,16,32,64(2x32),20,K20,0.71,13,192,4.8,1.25,3.5,2,x,25000,8000,2,11763035622
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,0.5,3845658479
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,1,3850461134
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,1.5,3880159291
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,1000,2,3876790466
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,0.5,4144434328
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,1,4142845728
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,1.5,4153482774
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,2000,2,2994211254
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,0.5,3776611159
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,1,3786222304
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,1.5,3768475047
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,4000,2,3781442442
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,0.5,6798279912
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,1,6802784226
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,1.5,6801742519
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,17000,8000,2,6804609606
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,1000,0.5,4402667000
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,1000,1,4412181955
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,1000,1.5,4427513326
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,1000,2,4433638463
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,2000,0.5,4723921048
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,2000,1,4720978780
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,2000,1.5,4722093850
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,2000,2,4731416895
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,4000,0.5,4336351197
supermicro,2,Intel,3,20,40,256(2x128),25,K20,0.71,13,192,4.8,1.25,3.5,2,x,19000,4000,1,4315487386
