#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,1.19194971333056,0.759930695288924,2.00550060885858
5,1,1.19194971333056,0.981058044252958,2.47757388375245
6,1,1.19194971333056,1.22100196881302,2.90576479104179
7,1,1.19194971333056,1.39370690322186,3.20822079722386
8,1,1.19194971333056,1.52634148356089,3.20805014103868
9,1,1.19194971333056,1.84559517464616,3.21060574331035
10,1,1.19194971333056,2.09694477868616,3.20521389004498
11,1,1.19194971333056,2.30960058950571,3.15297403680005
12,1,1.19194971333056,2.4813101457655,3.01351298713005
13,1,1.19194971333056,2.66056061579343,2.91200783312007
14,1,1.19194971333056,2.75170883233782,2.83477726745193
15,1,1.19194971333056,3.02932681319222,2.78374854560285
16,1,1.19194971333056,2.00372947529902,3.19233987627847
17,1,1.19194971333056,3.09341589045383,2.7469425020453
18,1,1.19194971333056,3.15682132206483,2.74055939028771
19,1,1.19194971333056,2.55090709197679,2.75619990757834
20,1,1.19194971333056,2.67860056928203,2.76658653773284
21,1,1.19194971333056,2.77925441737052,2.77146769098787
22,1,1.19194971333056,2.88957993679978,2.78642358433412
23,1,1.19194971333056,2.94963359698017,2.79637884300365
24,1,1.19194971333056,2.9649352360815,2.81414211877076
25,1,1.19194971333056,3.09760424342633,2.8049917016023
26,1,1.19194971333056,3.21979171246628,2.80337483918495
27,1,1.19194971333056,3.30917991744909,2.78081851329319
28,1,1.19194971333056,3.39754660951377,2.7562089537111
29,1,1.19194971333056,3.51049854911283,2.71758203264963
30,1,1.19194971333056,3.56774105962168,2.69576458404574
31,1,1.19194971333056,3.65088395551973,2.68085459807849
32,1,1.19194971333056,3.8217274061801,2.66452936179109
