#size,volumn,1,2,3,4,5,6,7,8,9,10
50*100*100,500000,677576.67,1378778.33,1971849.34,2856580.67,3490060,4235284.67,5056257.33,5696196.34,6337922.33
50*200*200,2000000,1635254.34,4157229.67,7010654.67,8841021.34,11370181.67,13276486.33,15745102.67,17577866.33,20405802.67
50*400*400,8000000,-610360.329999998,9295372.33,18585843.66,28247551.33,37759965,46788385,56948970,66539646.33,76128965
50*800*800,32000000,-2425641.67,36743880.33,75425715,114556228.67,153635968.33,190378220,231463575,270479320.33,309361591
100*100*100,1000000,829338.67,2304165.34,3514486.34,4853880,6088173,7366374.34,9124321.33,10074641.33,11045918.66
100*200*200,4000000,4262585.33,10555831.66,16140089.67,22270578.33,28173225.66,34096880,39430308.67,45658697,51089388.33
100*400*400,16000000,71410.3299999982,21361661.67,42145052,63006656.67,83868542.66,104736873.33,124485789,146377792,167037950.33
100*800*800,64000000,2666607.33999997,85261599.33,171575208,256416394.67,338046127.66,418990053.33,510183712.34,584977718,669436803.33
200*200*200,8000000,9420194.34,20913193.33,32237886,43515387.67,54818079.33,66155574,77489663,88935900,99548873.67
200*400*400,32000000,2508130.34,45889920.33,89398432,132672708.33,176075231,216639234.67,262925287.33,305856246,345560017.33
200*800*800,128000000,10614596.67,181043637,350829369,522359739,693299641.33,865578188.67,1042388871,1210535608.33,1383095535.67
400*400*400,64000000,10283563.33,99092768,193331459.33,283774206,371373639.33,460539227.66,556811869,641777550,730810576.66
800*400*400,128000000,22752112.33,208585974.33,398274896,579616244,764685133.33,951146568.34,1134973324.33,1321812689,1507527627.33
