#size,volumn,1,2,3,4,5,6,7,8,9,10
50*100*100,500000,-19386640.34,-11088857.34,-16268568.34,-1419970.67,-14761398.67,1700202,6508414.33,-9264705.34,-1952968,-4492833.33
50*200*200,2000000,-3825754,-17740986.67,4796555,1595871.67,10832294,-8091860.33,8176313.33,19670048.33,8425400.33,21352965.66
50*400*400,8000000,-15540048.34,-10812567.33,25990080.33,38335730.67,58857880,72401642.34,87469053.67,103728939.66,114897352.33,129535538.67
50*800*800,32000000,-30671221.67,38138268.67,86136314.33,163992754.67,223284456.67,287024762,339561782.67,417672531.34,489337935.33,554993031.67
50*1000*1000,50000000,-34294730.33,60414555,173874148.34,271554031.67,381979405.34,472238189,584567697,693275304.67,786631965.34,892688536.33
100*100*100,1000000,-9081259.33,-25591163.66,1971709.33,-1694420.67,-22396905.33,-6695640,7773228.33,-1564911.66,9494681.66,6461407.67
100*200*200,4000000,-7665754.33,-25411145.34,3461463.33,5681663.67,28683917.34,29145888.33,36404163.34,47831134,57748469.33,72297848.67
100*400*400,16000000,-13381222,23306133,52571760.67,65502669,106576462.33,141780814,172370907.33,206693710,248596588,267484082.67
100*800*800,64000000,-35050119.34,97909968,219717293,381586561.67,503483954,645846703.33,775864940.33,908807098.66,1043587644,1184957517.33
100*1000*1000,100000000,-37357387,167148830.33,389230411,611841920.66,830704933.33,1042252776.33,1257572076.67,1475954777.66,1680343571.34,1904116534.67
200*200*200,8000000,-9856980,-1251131,27190296.66,26536707,57069539.33,83979139.67,101583871.33,103970767,126547558,135912304.34
200*400*400,32000000,-17427115,59068940.66,123405496.66,198793949.66,271696130.67,332476239,405831143,481294053,558319058.66,616257140.67
200*800*800,128000000,-37136048.34,258369949.66,540918277.66,829040486.33,1130631531,1412943011.33,1714587553,1997910958.33,2299652302.34,2586405809.33
200*1000*1000,200000000,-53329463.67,376911598.67,821282317,1261753372.66,1703345676.67,2149490946.67,2584214117.33,3023714691.33,3474371916,3911395068.67
400*400*400,64000000,-35772735.67,113560976.67,261127821.67,397798326.33,555089105.33,695398217.67,843485457.67,978967021.66,1124155837.66,1261420343
800*400*400,128000000,-26181860.33,275599350,570700570.33,882512297,1172829077.33,1458025637.33,1761988643,2065246106,2365950854.66,2666936605
