==5636== NVPROF is profiling process 5636, command: ./StencilCudaGpu37 200 200 100 30 10
==5636== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5636== Profiling application: ./StencilCudaGpu37 200 200 100 30 10
==5636== Profiling result:
==5636== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_tex_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_tex_hit_sectors",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_read_tex_hit_sectors",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_read_tex_hit_sectors",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_tex_hit_sectors",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_thread_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_thread_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_thread_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_thread_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_thread_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_thread_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_thread_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_thread_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_thread_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_thread_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_thread_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_thread_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_warp_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_warp_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_warp_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_warp_count_32b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_warp_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_warp_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_warp_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_warp_count_64b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp0_gld_warp_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp1_gld_warp_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp2_gld_warp_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"rocache_subp3_gld_warp_count_128b",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_read_sysmem_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_read_sysmem_sector_queries",0,0,0,0
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_write_sysmem_sector_queries",0,5,2,607
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_write_sysmem_sector_queries",0,4,0,252
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_write_sysmem_sector_queries",0,4,1,308
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_write_sysmem_sector_queries",0,4,1,305
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_total_read_sector_queries",32616,32743,32635,9790790
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp1_total_read_sector_queries",32432,32561,32453,9736085
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp2_total_read_sector_queries",32656,32781,32667,9800288
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp3_total_read_sector_queries",32376,32484,32387,9716162
"Tesla K20m (0)","gpu_stencil37_hack1_cp_rows(double*, double*, double*, double*, int, int, int, int, int, int)",300,"l2_subp0_total_write_sector_queries",32502,32508,32503,9751121
