machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"l1_cache_global_hit_rate","L1 Global Hit Rate",0.000000%,0.000000%
f3,200_200_50,300,"l1_cache_local_hit_rate","L1 Local Hit Rate",0.000000%,0.000000%
f3,200_200_50,300,"sm_efficiency","Multiprocessor Activity",90.317435%,92.229433%
f3,200_200_50,300,"ipc","Executed IPC",0.200969,0.206602
f3,200_200_50,300,"achieved_occupancy","Achieved Occupancy",0.109357,0.109359
f3,200_200_50,300,"gld_requested_throughput","Requested Global Load Throughput",27.362049GB/s,27.470305GB/s
f3,200_200_50,300,"gst_requested_throughput","Requested Global Store Throughput",27.362049GB/s,27.470305GB/s
f3,200_200_50,300,"sm_efficiency_instance","Multiprocessor Activity",90.317435%,92.229433%
f3,200_200_50,300,"ipc_instance","Executed IPC",0.200969,0.206602
f3,200_200_50,300,"inst_replay_overhead","Instruction Replay Overhead",0.431299,0.431659
f3,200_200_50,300,"shared_replay_overhead","Shared Memory Replay Overhead",0.000000,0.000000
f3,200_200_50,300,"global_replay_overhead","Global Memory Replay Overhead",0.187149,0.187149
f3,200_200_50,300,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000
f3,200_200_50,300,"tex_cache_hit_rate","Texture Cache Hit Rate",0.000000%,0.000000%
f3,200_200_50,300,"tex_cache_throughput","Texture Cache Throughput",0.000000B/s,0.000000B/s
f3,200_200_50,300,"dram_read_throughput","Device Memory Read Throughput",35.914583GB/s,36.132513GB/s
f3,200_200_50,300,"dram_write_throughput","Device Memory Write Throughput",33.768102GB/s,33.930539GB/s
f3,200_200_50,300,"gst_throughput","Global Store Throughput",27.362049GB/s,27.470305GB/s
f3,200_200_50,300,"gld_throughput","Global Load Throughput",27.362049GB/s,27.470305GB/s
f3,200_200_50,300,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000
f3,200_200_50,300,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%
f3,200_200_50,300,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%
f3,200_200_50,300,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%
f3,200_200_50,300,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",0.000000%,0.000000%
f3,200_200_50,300,"l2_texture_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%
f3,200_200_50,300,"l2_l1_read_throughput","L2 Throughput (L1 Reads)",27.362049GB/s,27.470305GB/s
f3,200_200_50,300,"l2_texture_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,0.000000B/s
f3,200_200_50,300,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%
f3,200_200_50,300,"warp_execution_efficiency","Warp Execution Efficiency",89.285714%,89.285714%
f3,200_200_50,300,"nc_gld_requested_throughput","Requested Non-Coherent Global Load Throughput",0.000000B/s,0.000000B/s
f3,200_200_50,300,"issued_ipc","Issued IPC",0.287227,0.295440
f3,200_200_50,300,"inst_per_warp","Instructions per warp",1374.000000,1374.000000
f3,200_200_50,300,"issue_slot_utilization","Issue Slot Utilization",5.329427%,5.481756%
f3,200_200_50,300,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000
f3,200_200_50,300,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000
f3,200_200_50,300,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000
f3,200_200_50,300,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000
