CPU: Intel Haswell microarchitecture, speed 3900 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 6000
Counted INST_RETIRED events (number of instructions retired) with a unit mask of 0x00 (No unit mask) count 6000
Counted cpl_cycles events () with a unit mask of 0x01 (Number of intervals between processor halts while thread is in ring 0) count 2000003
Counted resource_stalls events () with a unit mask of 0x01 (Resource-related stall cycles) count 2000003
Counted l2_rqsts events () with a unit mask of 0x21 (Demand Data Read miss L2, no rejects) count 200003
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 6000
Counted LLC_REFS events (Last level cache demand requests from this core) with a unit mask of 0x4f (No unit mask) count 6000
Counted l2_trans events () with a unit mask of 0x80 (Transactions accessing L2 pipe) count 200003
Counted br_inst_exec events () with a unit mask of 0xff (Speculative and retired  branches) count 200003
Counted br_misp_exec events () with a unit mask of 0xff (Speculative and retired mispredicted macro conditional branches) count 200003
samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     samples  cum. samples  %        cum. %     linenr info                 symbol name
11413528 11413528      57.1908  57.1908    10400455 10400455      56.4444  56.4444    21       21            55.2632  55.2632    6996     6996          98.9673  98.9673    172      172           99.4220  99.4220    466762   466762        99.6146  99.6146    806662   806662        99.6462  99.6462    10543    10543         95.9938  95.9938    57414    57414         26.6017  26.6017    18       18            94.7368  94.7368    (no location information)   computeInner_stencil37(double*, double*, unsigned long, unsigned long, unsigned long)
5        19956899      2.5e-05  99.9999    0        18426004            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   tbb::strict_ppl::internal::concurrent_queue_base_v3<darts::Codelet*>::deallocate_page(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
4        19956903      2.0e-05  99.9999    1        18426005      5.4e-06  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   tbb::strict_ppl::concurrent_queue<darts::Codelet*, tbb::cache_aligned_allocator<darts::Codelet*> >::~concurrent_queue()
2        19956905      1.0e-05  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   main
1        19956906      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   Stencil3D7ptCpuLoopCD::~Stencil3D7ptCpuLoopCD()
1        19956907      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   StencilTP::StencilTP(double*, unsigned long, unsigned long, unsigned long, double*, unsigned long, bool, double, darts::Codelet*)
1        19956908      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::CodeletFinal::decDep()
1        19956909      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::Runtime::Runtime(darts::ThreadAffinity*)
1        19956910      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::Runtime::run(darts::tpClosure*)
1        19956911      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::Runtime::~Runtime()
1        19956912      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::Thread::join()
1        19956913      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   darts::Thread::setAffinity(int)
1        19956914      5.0e-06  100.000    0        18426005            0  100.000    0        38                  0  100.000    0        7069                0  100.000    0        173                 0  100.000    0        468568              0  100.000    0        809526              0  100.000    0        10983               0  100.000    0        215828              0  100.000    0        19                  0  100.000    (no location information)   tbb::strict_ppl::internal::micro_queue<darts::tpClosure*>::pop(void*, unsigned long, tbb::strict_ppl::internal::concurrent_queue_base_v3<darts::tpClosure*>&)
