machine,kernel,size(xyz),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,400_400_200,1,1,4,134145070
f3,StencilCudaGpu37,400_400_200,1,1,5,134436008
f3,StencilCudaGpu37,400_400_200,1,1,6,133442731
f3,StencilCudaGpu37,400_400_200,1,1,7,134235662
f3,StencilCudaGpu37,400_400_200,1,1,8,134051427
f3,StencilCudaGpu37,400_400_200,1,1,9,133950182
f3,StencilCudaGpu37,400_400_200,1,1,10,134523481
f3,StencilCudaGpu37,400_400_200,1,1,11,134335850
f3,StencilCudaGpu37,400_400_200,1,1,12,134498952
f3,StencilCudaGpu37,400_400_200,1,1,13,133777108
f3,StencilCudaGpu37,800_800_200,1,0,0,509079806
f3,StencilCudaGpu37,800_800_200,1,1,1,509914783
f3,StencilCudaGpu37,800_800_200,1,1,2,509993576
f3,StencilCudaGpu37,800_800_200,1,1,3,515461544
f3,StencilCudaGpu37,800_800_200,1,1,4,511085173
f3,StencilCudaGpu37,800_800_200,1,1,5,509764134
f3,StencilCudaGpu37,800_800_200,1,1,6,509540887
f3,StencilCudaGpu37,800_800_200,1,1,7,509425664
f3,StencilCudaGpu37,800_800_200,1,1,8,509685278
f3,StencilCudaGpu37,800_800_200,1,1,9,510030526
f3,StencilCudaGpu37,800_800_200,1,1,10,509828247
f3,StencilCudaGpu37,800_800_200,1,1,11,510694764
f3,StencilCudaGpu37,800_800_200,1,1,12,509244716
f3,StencilCudaGpu37,800_800_200,1,1,13,509229047
f3,StencilCudaGpu37,1000_1000_200,1,0,0,697001305
f3,StencilCudaGpu37,1000_1000_200,1,1,1,697721964
f3,StencilCudaGpu37,1000_1000_200,1,1,2,695202758
f3,StencilCudaGpu37,1000_1000_200,1,1,3,695553088
f3,StencilCudaGpu37,1000_1000_200,1,1,4,695414639
f3,StencilCudaGpu37,1000_1000_200,1,1,5,695078787
f3,StencilCudaGpu37,1000_1000_200,1,1,6,695894178
f3,StencilCudaGpu37,1000_1000_200,1,1,7,694543169
f3,StencilCudaGpu37,1000_1000_200,1,1,8,695024329
f3,StencilCudaGpu37,1000_1000_200,1,1,9,697460721
f3,StencilCudaGpu37,1000_1000_200,1,1,10,695437012
f3,StencilCudaGpu37,1000_1000_200,1,1,11,695359494
f3,StencilCudaGpu37,1000_1000_200,1,1,12,695235364
f3,StencilCudaGpu37,1000_1000_200,1,1,13,695801776
f3,StencilCudaGpu37,100_100_400,1,0,0,26770101
f3,StencilCudaGpu37,100_100_400,1,1,1,24990221
f3,StencilCudaGpu37,100_100_400,1,1,2,26226887
f3,StencilCudaGpu37,100_100_400,1,1,3,24823347
f3,StencilCudaGpu37,100_100_400,1,1,4,26608880
f3,StencilCudaGpu37,100_100_400,1,1,5,26095202
f3,StencilCudaGpu37,100_100_400,1,1,6,26765989
f3,StencilCudaGpu37,100_100_400,1,1,7,24954959
f3,StencilCudaGpu37,200_200_400,1,0,0,72417008
f3,StencilCudaGpu37,200_200_400,1,1,1,72379534
f3,StencilCudaGpu37,200_200_400,1,1,2,72667310
f3,StencilCudaGpu37,200_200_400,1,1,3,71934890
f3,StencilCudaGpu37,200_200_400,1,1,4,72160887
f3,StencilCudaGpu37,200_200_400,1,1,5,71355602
f3,StencilCudaGpu37,200_200_400,1,1,6,72033003
f3,StencilCudaGpu37,200_200_400,1,1,7,71626379
f3,StencilCudaGpu37,200_200_400,1,1,8,71745426
f3,StencilCudaGpu37,200_200_400,1,1,9,72116831
f3,StencilCudaGpu37,200_200_400,1,1,10,71345374
f3,StencilCudaGpu37,200_200_400,1,1,11,71147300
f3,StencilCudaGpu37,200_200_400,1,1,12,71498482
f3,StencilCudaGpu37,200_200_400,1,1,13,71884260
f3,StencilCudaGpu37,400_400_400,1,0,0,259522709
f3,StencilCudaGpu37,400_400_400,1,1,1,259332421
f3,StencilCudaGpu37,400_400_400,1,1,2,258934433
f3,StencilCudaGpu37,400_400_400,1,1,3,258476884
f3,StencilCudaGpu37,400_400_400,1,1,4,259223013
f3,StencilCudaGpu37,400_400_400,1,1,5,259577844
f3,StencilCudaGpu37,400_400_400,1,1,6,258453611
f3,StencilCudaGpu37,400_400_400,1,1,7,259621702
f3,StencilCudaGpu37,400_400_400,1,1,8,259868160
f3,StencilCudaGpu37,400_400_400,1,1,9,259274864
f3,StencilCudaGpu37,400_400_400,1,1,10,258139910
f3,StencilCudaGpu37,400_400_400,1,1,11,259171689
f3,StencilCudaGpu37,400_400_400,1,1,12,258324585
f3,StencilCudaGpu37,400_400_400,1,1,13,258748150
f3,StencilCudaGpu37,400_400_400,1,1,14,258441666
f3,StencilCudaGpu37,400_400_400,1,1,15,259088818
f3,StencilCudaGpu37,400_400_400,1,1,16,259334347
f3,StencilCudaGpu37,400_400_400,1,1,17,259366414
f3,StencilCudaGpu37,400_400_400,1,1,18,258815953
f3,StencilCudaGpu37,400_400_400,1,1,19,258754965
f3,StencilCudaGpu37,400_400_400,1,1,20,258603680
f3,StencilCudaGpu37,400_400_400,1,1,21,259913382
f3,StencilCudaGpu37,400_400_400,1,1,22,258701633
f3,StencilCudaGpu37,400_400_400,1,1,23,258879286
f3,StencilCudaGpu37,400_400_400,1,1,24,259069049
f3,StencilCudaGpu37,400_400_400,1,1,25,258312836
f3,StencilCudaGpu37,800_800_400,1,0,0,882328792
f3,StencilCudaGpu37,800_800_400,1,1,1,885641648
f3,StencilCudaGpu37,800_800_400,1,1,2,882628302
f3,StencilCudaGpu37,800_800_400,1,1,3,885131698
f3,StencilCudaGpu37,800_800_400,1,1,4,885442099
f3,StencilCudaGpu37,800_800_400,1,1,5,884860315
f3,StencilCudaGpu37,800_800_400,1,1,6,882610002
f3,StencilCudaGpu37,800_800_400,1,1,7,884402036
f3,StencilCudaGpu37,800_800_400,1,1,8,882519096
f3,StencilCudaGpu37,800_800_400,1,1,9,881688965
f3,StencilCudaGpu37,800_800_400,1,1,10,882157355
f3,StencilCudaGpu37,800_800_400,1,1,11,881762183
f3,StencilCudaGpu37,800_800_400,1,1,12,882242866
f3,StencilCudaGpu37,800_800_400,1,1,13,882737530
f3,StencilCudaGpu37,800_800_400,1,1,14,882524071
f3,StencilCudaGpu37,800_800_400,1,1,15,881460438
f3,StencilCudaGpu37,800_800_400,1,1,16,883002521
f3,StencilCudaGpu37,800_800_400,1,1,17,882499735
f3,StencilCudaGpu37,800_800_400,1,1,18,885747680
f3,StencilCudaGpu37,800_800_400,1,1,19,885246494
f3,StencilCudaGpu37,800_800_400,1,1,20,883121256
f3,StencilCudaGpu37,800_800_400,1,1,21,882477661
f3,StencilCudaGpu37,800_800_400,1,1,22,881959123
f3,StencilCudaGpu37,800_800_400,1,1,23,885330979
f3,StencilCudaGpu37,800_800_400,1,1,24,885663576
f3,StencilCudaGpu37,800_800_400,1,1,25,882601869
f3,StencilCudaGpu37,1000_1000_400,1,0,0,1313636595
f3,StencilCudaGpu37,1000_1000_400,1,1,1,1314077398
f3,StencilCudaGpu37,1000_1000_400,1,1,2,1314501362
f3,StencilCudaGpu37,1000_1000_400,1,1,3,1313864362
f3,StencilCudaGpu37,1000_1000_400,1,1,4,1313975643
f3,StencilCudaGpu37,1000_1000_400,1,1,5,1318576800
f3,StencilCudaGpu37,1000_1000_400,1,1,6,1318554704
f3,StencilCudaGpu37,1000_1000_400,1,1,7,1314160343
f3,StencilCudaGpu37,1000_1000_400,1,1,8,1313771014
f3,StencilCudaGpu37,1000_1000_400,1,1,9,1318649852
f3,StencilCudaGpu37,1000_1000_400,1,1,10,1313994653
f3,StencilCudaGpu37,1000_1000_400,1,1,11,1314000508
f3,StencilCudaGpu37,1000_1000_400,1,1,12,1314296199
f3,StencilCudaGpu37,1000_1000_400,1,1,13,1313955382
f3,StencilCudaGpu37,1000_1000_400,1,1,14,1314368154
f3,StencilCudaGpu37,1000_1000_400,1,1,15,1313473920
f3,StencilCudaGpu37,1000_1000_400,1,1,16,1314454369
f3,StencilCudaGpu37,1000_1000_400,1,1,17,1318831029
f3,StencilCudaGpu37,1000_1000_400,1,1,18,1314303568
f3,StencilCudaGpu37,1000_1000_400,1,1,19,1314398424
f3,StencilCudaGpu37,1000_1000_400,1,1,20,1314236749
f3,StencilCudaGpu37,1000_1000_400,1,1,21,1313366028
f3,StencilCudaGpu37,1000_1000_400,1,1,22,1313989894
f3,StencilCudaGpu37,1000_1000_400,1,1,23,1318899864
f3,StencilCudaGpu37,1000_1000_400,1,1,24,1318798264
f3,StencilCudaGpu37,1000_1000_400,1,1,25,1312587859
f3,StencilCudaGpu37,100_100_800,1,0,0,40783721
f3,StencilCudaGpu37,100_100_800,1,1,1,41686073
f3,StencilCudaGpu37,100_100_800,1,1,2,41512069
f3,StencilCudaGpu37,100_100_800,1,1,3,41257762
f3,StencilCudaGpu37,100_100_800,1,1,4,40894725
f3,StencilCudaGpu37,100_100_800,1,1,5,40507438
f3,StencilCudaGpu37,100_100_800,1,1,6,40935757
f3,StencilCudaGpu37,100_100_800,1,1,7,40161976
f3,StencilCudaGpu37,200_200_800,1,0,0,135000874
f3,StencilCudaGpu37,200_200_800,1,1,1,134923181
f3,StencilCudaGpu37,200_200_800,1,1,2,134458076
f3,StencilCudaGpu37,200_200_800,1,1,3,134743731
f3,StencilCudaGpu37,200_200_800,1,1,4,135367229
f3,StencilCudaGpu37,200_200_800,1,1,5,134448489
f3,StencilCudaGpu37,200_200_800,1,1,6,135454357
f3,StencilCudaGpu37,200_200_800,1,1,7,135691364
f3,StencilCudaGpu37,200_200_800,1,1,8,134520528
f3,StencilCudaGpu37,200_200_800,1,1,9,135413617
f3,StencilCudaGpu37,200_200_800,1,1,10,135017160
f3,StencilCudaGpu37,200_200_800,1,1,11,135169353
f3,StencilCudaGpu37,200_200_800,1,1,12,134888108
f3,StencilCudaGpu37,200_200_800,1,1,13,135092783
f3,StencilCudaGpu37,400_400_800,1,0,0,509193130
f3,StencilCudaGpu37,400_400_800,1,1,1,510507155
f3,StencilCudaGpu37,400_400_800,1,1,2,508608106
f3,StencilCudaGpu37,400_400_800,1,1,3,511130619
f3,StencilCudaGpu37,400_400_800,1,1,4,508986923
f3,StencilCudaGpu37,400_400_800,1,1,5,509079023
f3,StencilCudaGpu37,400_400_800,1,1,6,509427568
f3,StencilCudaGpu37,400_400_800,1,1,7,510164489
f3,StencilCudaGpu37,400_400_800,1,1,8,509249133
f3,StencilCudaGpu37,400_400_800,1,1,9,509033728
f3,StencilCudaGpu37,400_400_800,1,1,10,509096966
f3,StencilCudaGpu37,400_400_800,1,1,11,509371285
f3,StencilCudaGpu37,400_400_800,1,1,12,508549371
f3,StencilCudaGpu37,400_400_800,1,1,13,510846953
f3,StencilCudaGpu37,400_400_800,1,1,14,511045562
f3,StencilCudaGpu37,400_400_800,1,1,15,510570933
f3,StencilCudaGpu37,400_400_800,1,1,16,509624985
f3,StencilCudaGpu37,400_400_800,1,1,17,508889321
f3,StencilCudaGpu37,400_400_800,1,1,18,509063565
f3,StencilCudaGpu37,400_400_800,1,1,19,508934563
f3,StencilCudaGpu37,400_400_800,1,1,20,508897924
f3,StencilCudaGpu37,400_400_800,1,1,21,510925852
f3,StencilCudaGpu37,400_400_800,1,1,22,509600956
f3,StencilCudaGpu37,400_400_800,1,1,23,509375052
f3,StencilCudaGpu37,400_400_800,1,1,24,509479712
f3,StencilCudaGpu37,400_400_800,1,1,25,509113735
f3,StencilCudaGpu37,800_800_800,1,0,0,1668298176
f3,StencilCudaGpu37,800_800_800,1,1,1,1675173935
f3,StencilCudaGpu37,800_800_800,1,1,2,1668387120
f3,StencilCudaGpu37,800_800_800,1,1,3,1668191855
f3,StencilCudaGpu37,800_800_800,1,1,4,1667454390
f3,StencilCudaGpu37,800_800_800,1,1,5,1667944642
f3,StencilCudaGpu37,800_800_800,1,1,6,1667651995
f3,StencilCudaGpu37,800_800_800,1,1,7,1667674719
f3,StencilCudaGpu37,800_800_800,1,1,8,1667663886
f3,StencilCudaGpu37,800_800_800,1,1,9,1667989906
f3,StencilCudaGpu37,800_800_800,1,1,10,1668337685
