#cores,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaHybrid3
4,1,5.46977837919742,0.641674494154575,5.45236280551163
5,1,5.46977837919742,0.827975398488118,5.45504817731575
6,1,5.46977837919742,1.0309841599621,5.45547263414902
7,1,5.46977837919742,1.16157399267191,5.45597967433647
8,1,5.46977837919742,1.31007655394971,5.45458055033749
9,1,5.46977837919742,1.55890812285478,5.45608231929261
10,1,5.46977837919742,1.7768597959417,5.45525966039056
11,1,5.46977837919742,1.95134867900414,5.45935866309703
12,1,5.46977837919742,2.05794536142963,5.45670164815232
13,1,5.46977837919742,2.15342955130512,5.45762164393663
14,1,5.46977837919742,2.33022163656243,5.45741082889669
15,1,5.46977837919742,2.57818963346958,5.45574510219614
16,1,5.46977837919742,1.70089482485473,5.43981606104853
17,1,5.46977837919742,2.68005802790536,5.45892680183824
18,1,5.46977837919742,2.70104371225811,5.44965226103433
19,1,5.46977837919742,2.11747790505455,5.45012040502917
20,1,5.46977837919742,2.23763897048165,5.45275964599579
21,1,5.46977837919742,2.3498363405723,5.44774998024272
22,1,5.46977837919742,2.44255042115716,5.44807697395224
23,1,5.46977837919742,2.52563501105004,5.44622080884438
24,1,5.46977837919742,2.49207158240024,5.45144159906369
25,1,5.46977837919742,2.58384264931755,5.45297820285496
26,1,5.46977837919742,2.77626731992187,5.453835409339
27,1,5.46977837919742,2.85900237486796,5.4435983686769
28,1,5.46977837919742,2.85316652245061,5.44694483679549
29,1,5.46977837919742,2.95173747513505,5.44961856366427
30,1,5.46977837919742,3.03533061011644,5.45218875684746
31,1,5.46977837919742,3.12195075973527,5.45001544149076
32,1,5.46977837919742,3.28689705001823,5.44837480499029
